Feature,Importance
Contract Length = Monthly,6.046654577060553
Contract Length = Quarterly,2.729918770354352
Contract Length = Annual,2.648295308488853
Support Calls,2.3329639182526223
Total Spend,1.484110734757212
Gender_Female,0.9278230062999747
Payment Delay,0.8955295212903273
Last Interaction,0.5277506774870488
Age,0.5130655263635628
Subscription Type = Basic,0.3391210260061973
Gender_Male,0.2593825080826812
Subscription Type = Premium,0.2438693783394733
Usage Frequency,0.20282525149575417
Tenure,0.13253164093015884
Subscription Type = Standard,0.08545009387157282
